day,fajr,dhuhr,asr,maghrib,isha
01,05:29,11:57,14:25,16:17,18:19
02,05:28,11:57,14:26,16:19,18:21
03,05:26,11:57,14:27,16:21,18:23
04,05:25,11:57,14:29,16:23,18:25
05,05:23,11:57,14:30,16:25,18:27
06,05:21,11:57,14:32,16:27,18:29
07,05:19,11:57,14:33,16:29,18:31
08,05:17,11:57,14:35,16:31,18:33
09,05:15,11:57,14:36,16:33,18:35
10,05:13,11:57,14:38,16:35,18:37
11,05:11,11:57,14:39,16:37,18:39
12,05:09,11:57,14:41,16:39,18:41
13,05:07,11:57,14:42,16:41,18:43
14,05:05,11:57,14:44,16:43,18:45
15,05:03,11:57,14:45,16:45,18:47
16,05:01,11:58,14:46,16:48,18:48
17,05:00,11:58,14:57,16:52,18:49
18,04:58,11:58,14:59,16:54,18:51
19,04:56,11:58,15:00,16:56,18:53
20,04:54,11:58,15:02,16:58,18:55
21,04:52,11:58,15:03,17:00,18:57
22,04:49,11:58,15:05,17:02,18:59
23,04:47,11:58,15:06,17:04,19:01
24,04:45,11:58,15:08,17:06,19:03
25,04:43,11:57,15:09,17:08,19:05
26,04:40,11:57,15:11,17:10,19:07
27,04:38,11:57,15:12,17:12,19:09
28,04:36,11:57,15:14,17:14,19:11
